,Country,GDP_USD_billion,year,region
0,United States,30337.16,2025,Americas
1,China,19534.89,2025,Asia
2,Germany,4921.56,2025,Europe
3,Japan,4389.33,2025,Asia
4,India,4271.92,2025,Asia
5,United Kingdom,3730.26,2025,Europe
6,France,3283.43,2025,Europe
7,Italy,2459.6,2025,Europe
8,Canada,2330.31,2025,Americas
9,Brazil,2307.16,2025,Americas
10,Russia,2195.71,2025,
11,South Korea,1947.13,2025,
12,Australia,1881.14,2025,Oceania
13,Spain,1827.58,2025,Europe
14,Mexico,1817.82,2025,Americas
15,Indonesia,1492.62,2025,Asia
16,Turkey,1455.41,2025,
17,Netherlands,1272.96,2025,
18,Saudi Arabia,1136.58,2025,Asia
19,Switzerland,999.6,2025,Europe
20,Poland,915.45,2025,Europe
21,Taiwan,814.44,2025,
22,Belgium,689.36,2025,Europe
23,Sweden,638.78,2025,Europe
24,Ireland,587.23,2025,Europe
25,Argentina,574.2,2025,Americas
26,United Arab Emirates,568.57,2025,Asia
27,Singapore,561.73,2025,Asia
28,Austria,559.22,2025,Europe
29,Israel,550.9,2025,Asia
30,Thailand,545.34,2025,Asia
31,Norway,503.47,2025,Europe
32,Malaysia,488.25,2025,Asia
33,Philippines,471.52,2025,Asia
34,Vietnam,468.4,2025,
35,Iran,463.75,2025,
36,Bangladesh,451.86,2025,Asia
37,Denmark,431.23,2025,Europe
38,Hong Kong,422.06,2025,Asia
39,Colombia,419.33,2025,Americas
40,South Africa,418.05,2025,Africa
41,Romania,406.2,2025,Europe
42,Egypt,380.04,2025,Africa
43,Pakistan,374.6,2024,Asia
44,Chile,362.24,2025,Americas
45,Czech Republic,360.23,2025,
46,Finland,319.99,2025,Europe
47,Portugal,319.93,2025,Europe
48,Kazakhstan,306.63,2025,Asia
49,Peru,294.9,2025,Americas
50,Iraq,270.87,2025,Asia
51,Greece,265.17,2025,Europe
52,Algeria,264.27,2025,Africa
53,New Zealand,262.92,2025,Oceania
54,Hungary,245.62,2025,Europe
55,Qatar,226.22,2025,Asia
56,Nigeria,194.96,2025,Africa
57,Ukraine,189.83,2025,Europe
58,Morocco,168.6,2025,Africa
59,Kuwait,161.95,2025,Asia
60,Cuba,,,Americas
61,Ethiopia,145.03,2024,Africa
62,Slovakia,142.62,2024,Europe
63,Dominican Republic,126.24,2024,Americas
64,Ecuador,121.42,2024,Americas
65,Puerto Rico,120.97,2024,Americas
66,Kenya,116.32,2024,Africa
67,Angola,113.29,2024,Africa
68,Uzbekistan,112.65,2024,Asia
69,Guatemala,112.37,2024,Americas
70,Oman,109.99,2024,Asia
71,Bulgaria,108.42,2024,Europe
72,Venezuela,106.33,2024,
73,Costa Rica,95.15,2024,Americas
74,Luxembourg,91.21,2024,Europe
75,Croatia,89.67,2024,Europe
76,Panama,87.35,2024,Americas
77,Ivory Coast,86.99,2024,
78,Sri Lanka,74.85,2022,Asia
79,Turkmenistan,83.88,2024,Asia
80,Lithuania,82.79,2024,Europe
81,Uruguay,82.61,2024,Americas
82,Serbia,82.55,2024,Europe
83,Tanzania,79.87,2024,
84,Azerbaijan,75.65,2024,Asia
85,Ghana,75.31,2024,Africa
86,Slovenia,73.2,2024,Europe
87,Belarus,73.13,2024,Europe
88,DR Congo,72.48,2024,
89,Myanmar,64.28,2024,Asia
90,Uganda,55.59,2024,Africa
91,Macau,53.45,2024,
92,Cameroon,53.39,2024,Africa
93,Jordan,53.3,2024,Asia
94,Tunisia,52.64,2024,Africa
95,Bolivia,48.17,2024,
96,Bahrain,47.81,2024,Asia
97,Cambodia,47.15,2024,Asia
98,Latvia,45.52,2024,Europe
99,Paraguay,44.94,2024,Americas
100,Libya,44.81,2024,Africa
101,Nepal,43.67,2024,Asia
102,Estonia,43.04,2024,Europe
103,Honduras,36.73,2024,Americas
104,Zimbabwe,35.92,2024,Africa
105,El Salvador,35.85,2024,Americas
106,Cyprus,34.79,2024,Asia
107,Senegal,33.69,2024,Africa
108,Georgia,33.19,2024,Asia
109,Iceland,32.92,2024,Europe
110,Papua New Guinea,31.72,2024,Oceania
